PSCor PSCorErr PSErr ASCor ASErrCor ASErr OSCor OSErrCor OSErr Dropped total AScor.lat ASErrCor.lat ASErr.lat PScor.lat PSErrCor.lat PSErr.lat OScor.lat OSErrCor.lat OSErr.lat subj date run type
0 0 0 37 10 0 0 0 0 1 48 244.189189189189 170.7 NA NA NA NA NA NA NA 10872 20101221 1 Anti
0 0 0 46 0 0 0 0 0 2 48 257.195652173913 NA NA NA NA NA NA NA NA 10872 20120627 1 Anti
0 0 0 43 2 0 0 0 0 3 48 224.023255813953 187.5 NA NA NA NA NA NA NA 10872 20131129 1 Anti
36 2 0 0 0 0 0 0 0 10 48 NA NA NA 145.916666666667 110.5 NA NA NA NA 10221 20081110 1 VGS
45 0 0 0 0 0 0 0 0 3 48 NA NA NA 154.755555555556 NA NA NA NA NA 10221 20091121 1 VGS
45 0 0 0 0 0 0 0 0 3 48 NA NA NA 170.711111111111 NA NA NA NA NA 10221 20120413 1 VGS
46 0 0 0 0 0 0 0 0 2 48 NA NA NA 152.695652173913 NA NA NA NA NA 10221 20130325 1 VGS
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10221 20051115 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10221 20071101 1 Anti
0 0 0 33 10 0 0 0 0 5 48 215.060606060606 131.5 NA NA NA NA NA NA NA 10221 20081110 1 Anti
0 0 0 38 9 0 0 0 0 1 48 233.552631578947 141 NA NA NA NA NA NA NA 10221 20091121 1 Anti
0 0 0 40 5 0 0 0 0 3 48 253.65 161.8 NA NA NA NA NA NA NA 10221 20120413 1 Anti
0 0 0 41 3 0 0 0 0 4 48 274.512195121951 121.333333333333 NA NA NA NA NA NA NA 10221 20130325 1 Anti
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10221 20051115 1 Fix
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10221 20071101 1 Fix
0 0 0 0 0 0 41 0 2 5 48 NA NA NA NA NA NA NA NA 440.5 10221 20081110 1 Fix
0 0 0 0 0 0 48 0 0 0 48 NA NA NA NA NA NA NA NA NA 10221 20091121 1 Fix
0 0 0 0 0 0 40 0 5 3 48 NA NA NA NA NA NA NA NA 498.4 10221 20120413 1 Fix
0 0 0 0 0 0 35 0 11 2 48 NA NA NA NA NA NA NA NA 740 10221 20130325 1 Fix
45 0 0 0 0 0 0 0 0 3 48 NA NA NA 183.466666666667 NA NA NA NA NA 10816 20111107 1 VGS
47 0 0 0 0 0 0 0 0 1 48 NA NA NA 173.595744680851 NA NA NA NA NA 10816 20121130 1 VGS
43 1 0 0 0 0 0 0 0 4 48 NA NA NA 142.651162790698 93 NA NA NA NA 10816 20131218 1 VGS
0 0 0 44 1 0 0 0 0 3 48 282.75 80 NA NA NA NA NA NA NA 10816 20111107 1 Anti
0 0 0 45 3 0 0 0 0 0 48 230.4 128 NA NA NA NA NA NA NA 10816 20121130 1 Anti
0 0 0 39 3 0 0 0 0 6 48 208.102564102564 106.333333333333 NA NA NA NA NA NA NA 10816 20131218 1 Anti
0 0 0 0 0 0 42 0 2 4 48 NA NA NA NA NA NA NA NA 379.5 10816 20111107 1 Fix
0 0 0 0 0 0 36 0 11 1 48 NA NA NA NA NA NA NA NA 424 10816 20121130 1 Fix
